"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"48101","tt7693316","Devotion","2022","en","6.6","2160p","https://yts.mx/movies/devotion-2022","https://www.imdb.com/title/tt7693316","https://yts.mx/torrent/download/46769452066E3D116FC59E7CAF0343B7B9BC8048"
"48033","tt14138650","The Pale Blue Eye","2022","en","6.6","2160p","https://yts.mx/movies/the-pale-blue-eye-2022","https://www.imdb.com/title/tt14138650","https://yts.mx/torrent/download/1D353A99DADD41DD849F06CC0508B9EF6D90F2EE"
"48032","tt24224996","Mumbai Mafia: Police vs the Underworld","2023","en","6.5","2160p","https://yts.mx/movies/mumbai-mafia-police-vs-the-underworld-2023","https://www.imdb.com/title/tt24224996","https://yts.mx/torrent/download/B8163306D8C1A23C95BFB3F7CA5B1B3FD2B63709"
"48030","tt3915174","Puss in Boots: The Last Wish","2022","en","7.8","2160p","https://yts.mx/movies/puss-in-boots-the-last-wish-2022","https://www.imdb.com/title/tt3915174","https://yts.mx/torrent/download/98CAC0E1FC23A2F1E7052559CF3130DC4CFB16B3"
"47955","tt9764362","The Menu","2022","en","7.2","2160p","https://yts.mx/movies/the-menu-2022","https://www.imdb.com/title/tt9764362","https://yts.mx/torrent/download/2EDF2DC53DDDC12BD027A616C05F3AF56C57DD22"
"47944","tt25406946","Lizzo: Live in Concert","2022","en","6.4","2160p","https://yts.mx/movies/lizzo-live-in-concert-2022","https://www.imdb.com/title/tt25406946","https://yts.mx/torrent/download/8F19F3D26FC2AB0EA622122F3C36ACE1F5802784"
"47889","tt6160448","White Noise","2022","en","5.7","2160p","https://yts.mx/movies/white-noise-2022","https://www.imdb.com/title/tt6160448","https://yts.mx/torrent/download/4386DAA16A822C34A2EBE876C5CB303BFD20F32D"
"47886","tt25151776","Woooooo! Becoming Ric Flair","2022","en","7.4","2160p","https://yts.mx/movies/woooooo-becoming-ric-flair-2022","https://www.imdb.com/title/tt25151776","https://yts.mx/torrent/download/14D3281402BA2C5EA9320B019ADCED1304881CE2"
"47884","tt13622204","Wildcat","2022","en","7.7","2160p","https://yts.mx/movies/wildcat-2022","https://www.imdb.com/title/tt13622204","https://yts.mx/torrent/download/5EF4786D8DE958C29C4F43433192EF4C62DE4BD5"
"47861","tt2943178","Mad Heidi","2022","en","5.5","2160p","https://yts.mx/movies/mad-heidi-2022","https://www.imdb.com/title/tt2943178","https://yts.mx/torrent/download/EF08905BFC9FECCFCE05656AC0003C3F31A38644"
"47855","tt19724270","A Night at the Kindergarten","2022","pl","5.7","2160p","https://yts.mx/movies/a-night-at-the-kindergarten-2022","https://www.imdb.com/title/tt19724270","https://yts.mx/torrent/download/DFE2EA0776E327200BBAB03C55E1DBFFBB1CFB41"
"47807","tt22667880","The Boy, the Mole, the Fox and the Horse","2022","en","7.8","2160p","https://yts.mx/movies/the-boy-the-mole-the-fox-and-the-horse-2022","https://www.imdb.com/title/tt22667880","https://yts.mx/torrent/download/C8319D4CA0C0C9940F65B363B875D623B37FE8A7"
"47794","tt3447590","Matilda: The Musical","2022","en","7","2160p","https://yts.mx/movies/matilda-the-musical-2022","https://www.imdb.com/title/tt3447590","https://yts.mx/torrent/download/207B92EE02527059B0CF98AC876F32AB9EA8D198"
"47759","tt11564570","Glass Onion","2022","en","7.1","2160p","https://yts.mx/movies/glass-onion-2022","https://www.imdb.com/title/tt11564570","https://yts.mx/torrent/download/6DE26CD5ED82C28CF8D41FFCF7DD1888ECAD393F"
"47751","tt23625326","Chris Redd: Why am I Like This?","2022","en","6.7","2160p","https://yts.mx/movies/chris-redd-why-am-i-like-this-2022","https://www.imdb.com/title/tt23625326","https://yts.mx/torrent/download/F5EFD96E99C0A6A21DD1B71C1EE93878F3C520E1"
"47740","tt22029066","Elton John Live: Farewell from Dodger Stadium","2022","en","8","2160p","https://yts.mx/movies/elton-john-live-farewell-from-dodger-stadium-2022","https://www.imdb.com/title/tt22029066","https://yts.mx/torrent/download/8B2313EFF11550AAA7A1AA5099843C398DCEAC0D"
"47737","tt10298840","Strange World","2022","en","5.7","2160p","https://yts.mx/movies/strange-world-2022","https://www.imdb.com/title/tt10298840","https://yts.mx/torrent/download/EBD31C672AAE7A9CE8EFA03563D483F3F2907955"
"47687","tt12003946","Violent Night","2022","en","6.7","2160p","https://yts.mx/movies/violent-night-2022","https://www.imdb.com/title/tt12003946","https://yts.mx/torrent/download/C70AEF0FEBCF4C9E42747DFC8DB72AE7BF6CD35C"
"47686","tt23808016","A Not So Merry Christmas","2022","es","4.8","2160p","https://yts.mx/movies/a-not-so-merry-christmas-2022","https://www.imdb.com/title/tt23808016","https://yts.mx/torrent/download/B989430AECD1630DC89FA5554400AC379DCB05DB"
"47675","tt14777778","When Christmas Was Young","2022","en","6.2","2160p","https://yts.mx/movies/when-christmas-was-young-2022","https://www.imdb.com/title/tt14777778","https://yts.mx/torrent/download/2604C6EC96CC09DE4A845F905A336D48E3E2C19C"
